OBJECTID,HUC_12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,cubic_feet,cfs_mainstem
1,180101020503,1,2142,156151800.000000000000000,0.000000000000000,132.419998168945310,132.419998168945310,4.727068145214176,18.294503890069119,10125.379967048764000,55835941771.833786000000000,20846.752453641653000
2,180101060402,2,928,67651200.000000000000000,0.000000000000000,159.949996948242190,159.949996948242190,44.956357819253000,65.319401210738548,41719.500056266785000,99671299651.250473000000000,37213.000168477636000
3,180101040303,3,813,59267700.000000000000000,0.000000000000000,168.199996948242190,168.199996948242190,20.635522804320370,35.860246688926892,16776.680039912462000,35113944391.955872000000000,13110.044949206953000
4,180101040105,4,1651,120357900.000000000000000,4.489999771118164,334.049987792968750,329.559988021850590,79.476753386203484,64.374456381436787,131216.119840621950000,557721406625.309080000000000,208229.318483164940000
5,180101060301,5,1488,108475200.000000000000000,0.000000000000000,99.919998168945313,99.919998168945313,35.125557802216981,16.865012869805977,52266.830009698868000,200222159731.112000000000000,74754.390580612308000
6,180101040502,6,1005,73264500.000000000000000,0.000000000000000,219.279998779296870,219.279998779296870,53.377432835428273,63.651449495638168,53644.319999605417000,138794691473.125850000000000,51820.001296716699000
7,180101060303,7,962,70129800.000000000000000,0.000000000000000,190.660003662109370,190.660003662109370,11.313045782135827,37.995536344180813,10883.150042414665000,26953349222.408981000000000,10063.227756275763000
8,180101050109,8,1343,97904700.000000000000000,40.259998321533203,270.190002441406250,229.930004119873050,105.351340284652880,58.042564428315359,141486.850002288820000,489187262146.464660000000000,182641.600263763830000
9,180101060201,9,1274,92874600.000000000000000,0.000000000000000,230.139999389648440,230.139999389648440,69.639913674672044,65.405890002778335,88721.250021532178000,290991383709.844360000000000,108643.736450807950000
10,180101020501,10,1644,119847600.000000000000000,0.000000000000000,120.870002746582030,120.870002746582030,2.788284669404763,12.267963018425261,4583.939996501430900,19400985312.346809000000000,7243.498100487903700
11,180101060302,11,1272,92728800.000000000000000,0.000000000000000,233.539993286132810,233.539993286132810,25.611533032320207,44.613019704433256,32577.870017111301000,106682417131.328350000000000,39830.651557395460000
12,180101050206,12,1170,85293000.000000000000000,0.000000000000000,162.149993896484370,162.149993896484370,64.369401737697359,52.675651727902100,75312.200033105910000,226847629724.174800000000000,84695.202256636418000
13,180101050205,13,704,51321600.000000000000000,0.000000000000000,217.389999389648440,217.389999389648440,78.327727202410728,65.077749748611893,55142.719950497150000,99941046537.722046000000000,37313.712118325122000
14,180101060304,14,1059,77201100.000000000000000,0.000000000000000,194.229995727539060,194.229995727539060,19.853673267944227,42.739519188892707,21025.039990752935000,57321274779.861015000000000,21401.312268466623000
15,180101050101,15,561,40896900.000000000000000,0.000000000000000,315.799987792968750,315.799987792968750,49.838930348588448,55.328264170570812,27959.639925558120000,40381038612.117615000000000,15076.552647893370000
16,180101060403,16,1883,137270700.000000000000000,0.000000000000000,161.779998779296870,161.779998779296870,28.846542785468447,53.643752649141121,54318.040065037087000,263316128245.276460000000000,98310.979780942347000
17,180101050405,17,1403,102278700.000000000000000,0.000000000000000,208.490005493164060,208.490005493164060,13.889387023379642,28.705824883003615,19486.809993801638000,70385219802.171860000000000,26278.830571300743000
18,180101020105,18,1407,102570300.000000000000000,0.000000000000000,57.369998931884766,57.369998931884766,7.133745556447043,11.029128332871775,10037.179997920990000,36357068586.472755000000000,13574.174352775090000
19,180101060105,19,1438,104830200.000000000000000,0.000000000000000,228.139999389648440,228.139999389648440,59.209200332057826,65.204126676569089,85142.830077499151000,315202764103.948240000000000,117683.230325548090000
20,180101040208,20,850,61965000.000000000000000,0.000000000000000,354.130004882812500,354.130004882812500,38.336682251314905,56.912622133925005,32586.179913617671000,71307535412.444138000000000,26623.183771073815000
21,180101050204,21,873,63641700.000000000000000,0.000000000000000,216.869995117187500,216.869995117187500,89.302176537911777,64.443104312137436,77960.800117596984000,175215927105.832610000000000,65418.132880015313000
22,180101040302,22,1184,86313600.000000000000000,0.000000000000000,239.639999389648440,239.639999389648440,25.455641859041123,40.397649911029532,30139.479961104691000,91869320991.407761000000000,34300.075041594908000
23,180101020403,23,1784,130053600.000000000000000,0.000000000000000,364.859985351562500,364.859985351562500,42.985341859160769,84.708072771410528,76685.849876742810000,352203067928.636780000000000,131497.561203941530000
24,180101020402,24,679,49499100.000000000000000,0.000000000000000,383.899993896484370,383.899993896484370,201.750427528579390,128.326651503977620,136988.540291905400000,239462251652.120150000000000,89404.962534393664000
25,180101020603,25,1981,144414900.000000000000000,0.000000000000000,232.300003051757810,232.300003051757810,79.844422111006580,69.219463574904651,158171.800201904030000,806671256988.143550000000000,301176.544574426550000
26,180101020101,26,2144,156297600.000000000000000,0.000000000000000,555.049987792968750,555.049987792968750,165.134808659882790,142.746123036371590,354049.029766788710000,1954210035411.614700000000000,729618.442133964390000
27,180101020408,27,1096,79898400.000000000000000,0.000000000000000,107.379997253417970,107.379997253417970,3.774808394946974,16.990318475090749,4137.190000861883200,11673445769.704664000000000,4358.365356072543400
28,180101030101,28,975,71077500.000000000000000,0.000000000000000,166.929992675781250,166.929992675781250,54.962625599898971,43.310657846162243,53588.559959901497000,134511604161.208510000000000,50220.879689818175000
29,180101050406,29,1037,75597300.000000000000000,0.000000000000000,34.159999847412109,34.159999847412109,2.703558328266012,6.147142126917468,2803.589986411854600,7484732889.125184100000000,2794.479125270751400
30,180101050302,30,1413,103007700.000000000000000,0.000000000000000,338.899993896484370,338.899993896484370,90.509242854748777,99.360523440003504,127889.560153760020000,465222065483.249510000000000,173694.020864415330000
31,180101060405,31,857,62475300.000000000000000,0.000000000000000,27.079999923706055,27.079999923706055,1.430711781269194,5.528516388848024,1226.119996547699000,2705184228.652092500000000,1010.000085368910600
32,180101060404,32,1308,95353200.000000000000000,0.000000000000000,165.179992675781250,165.179992675781250,11.790214064380081,31.768973085389305,15421.599996209145000,51930227813.134705000000000,19388.525915895571000
33,180101060101,33,1337,97467300.000000000000000,0.000000000000000,170.740005493164060,170.740005493164060,35.082692541521972,40.642758546827665,46905.559928014874000,161450272172.098020000000000,60278.626109654266000
34,180101060103,34,2108,153673200.000000000000000,0.000000000000000,157.080001831054690,157.080001831054690,54.583401265481676,37.692649569358096,115061.809867635370000,624431577334.178220000000000,233136.042911506110000
35,180101040504,35,739,53873100.000000000000000,55.169998168945313,244.639999389648440,189.470001220703120,163.249431661727130,39.461660819490518,120641.329998016360000,229521621999.395110000000000,85693.556600729906000
36,180101040507,36,570,41553000.000000000000000,0.000000000000000,227.830001831054690,227.830001831054690,101.101912345384290,68.641348128349051,57628.090036869049000,84565287807.533157000000000,31573.061457412336000
37,180101050702,37,1290,94041000.000000000000000,45.319999694824219,305.589996337890620,260.269996643066410,206.222193831806040,41.518559222464425,266026.630043029790000,883482340082.086910000000000,329854.517653108980000
38,180101050602,38,1425,103882500.000000000000000,0.000000000000000,331.750000000000000,331.750000000000000,20.106547371954250,52.317949942760443,28651.830005034804000,105111511115.418700000000000,39244.142441539356000
39,180101050901,39,603,43958700.000000000000000,0.000000000000000,326.109985351562500,326.109985351562500,175.666766293013270,110.904311928559170,105927.060074687000000,164439929019.470460000000000,61394.836103446090000
40,180101051001,40,1630,118827000.000000000000000,0.000000000000000,148.229995727539060,148.229995727539060,47.201030643494583,53.690591920613016,76937.679948896170000,322856652866.969120000000000,120540.865019029650000
41,180101030501,41,646,47093400.000000000000000,0.000000000000000,188.779998779296870,188.779998779296870,149.472693009229940,51.902230398357439,96559.359683962539000,160586837227.402710000000000,59956.256431975438000
42,180101030102,42,955,69619500.000000000000000,0.000000000000000,211.940002441406250,211.940002441406250,46.493706834433276,57.146716583991939,44401.490026883781000,109165137363.073720000000000,40757.593101506121000
43,180101030103,43,1494,108912600.000000000000000,0.000000000000000,202.860000610351560,202.860000610351560,73.441586403735982,71.089265164651806,109721.730087181550000,422013451340.184940000000000,157561.772453772780000
44,180101030401,44,820,59778000.000000000000000,0.000000000000000,48.639999389648438,48.639999389648438,18.713438941211237,19.232719132888953,15345.019931793213000,32393983662.982304000000000,12094.527950635566000
45,180101030402,45,618,45052200.000000000000000,0.000000000000000,60.200000762939453,60.200000762939453,17.812928810860345,22.181181062717972,11008.390005111694000,17514402740.213123000000000,6539.128860593302300
46,180101030205,46,884,64443600.000000000000000,0.000000000000000,199.860000610351560,199.860000610351560,98.614649355276683,69.460185660181381,87175.350030064583000,198394219600.862520000000000,74071.915920274419000
47,180101030502,47,1494,108912600.000000000000000,0.000000000000000,185.979995727539060,185.979995727539060,117.964477978234090,62.325431133008976,176238.930099481720000,677852956681.301270000000000,253081.301030951700000
48,180101030302,48,1133,82595700.000000000000000,0.000000000000000,134.570007324218750,134.570007324218750,18.558402507576602,27.182096099248618,21026.670041084290000,61331482008.348724000000000,22898.552123786103000
49,180101030403,49,1190,86751000.000000000000000,0.000000000000000,63.549999237060547,63.549999237060547,6.488865523779092,18.236240503058895,7721.749973297119100,23656241559.371922000000000,8832.228778140643000
50,180101030503,50,1227,89448300.000000000000000,0.000000000000000,196.339996337890630,196.339996337890630,75.410032504005173,79.129369518122786,92528.109882414341000,292281483518.517700000000000,109125.404539470580000
51,180101030204,51,1401,102132900.000000000000000,0.000000000000000,194.839996337890630,194.839996337890630,71.197830200889314,70.763115381266203,99748.160111445934000,359770938085.443300000000000,134323.080229033370000
52,180101030203,52,2015,146893500.000000000000000,0.000000000000000,198.860000610351560,198.860000610351560,132.086337651661780,67.239466678604870,266153.970368098470000,1380673690530.417200000000000,515484.502139493710000
53,180101030405,53,991,72243900.000000000000000,0.000000000000000,76.790000915527344,76.790000915527344,23.197315864678469,28.695017955924307,22988.540021896362000,58650010555.283585000000000,21897.405374583184000
54,180101030301,54,1147,83616300.000000000000000,0.000000000000000,141.470001220703120,141.470001220703120,11.524777669631717,24.577932301637770,13218.919987067580000,39033944592.342735000000000,14573.605358550887000
55,180101030504,55,1478,107746200.000000000000000,0.000000000000000,209.949996948242190,209.949996948242190,107.295514266650640,78.288170675337199,158582.770086109640000,603411361793.171510000000000,225287.993501034940000
56,180101030202,56,992,72316800.000000000000000,4.250000000000000,237.649993896484370,233.399993896484370,151.254556440537980,66.346547175419190,150044.519989013670000,383190611744.180110000000000,143066.984671512850000
57,180101040401,57,1544,112557600.000000000000000,0.000000000000000,242.240005493164060,242.240005493164060,98.324430215353431,75.009000175550412,151812.920252505690000,603446926887.159060000000000,225301.271985946490000
58,180101030201,58,1548,112849200.000000000000000,114.669998168945310,207.259994506835940,92.589996337890625,158.921951013018000,17.370089454470595,246011.180168151860000,980412523841.656860000000000,366044.102390104900000
59,180101030505,59,1394,101622600.000000000000000,0.000000000000000,244.940002441406250,244.940002441406250,67.140846481089781,63.193481556578448,93594.339994639158000,335888712309.114930000000000,125406.478610033970000
60,180101030406,60,1194,87042600.000000000000000,0.000000000000000,156.860000610351560,156.860000610351560,14.352252909024457,33.845213919528071,17136.589973375201000,52675877844.695076000000000,19666.919744883176000
61,180101030404,61,955,69619500.000000000000000,0.000000000000000,114.110000610351560,114.110000610351560,42.478743447059109,36.516978751378545,40567.199991941452000,99738183490.559326000000000,37237.971733333070000
62,180101040101,62,964,70275600.000000000000000,47.669998168945313,228.600006103515620,180.930007934570310,186.103298697728830,18.703551186105102,179403.579944610600000,445236939168.343870000000000,166232.429498336310000
63,180101040403,63,1588,115765200.000000000000000,0.000000000000000,198.710006713867190,198.710006713867190,75.965743059527028,54.698130753949130,120633.599978528920000,493175888877.249570000000000,184130.782884277930000
64,180101040402,64,976,71150400.000000000000000,0.000000000000000,215.919998168945310,215.919998168945310,65.467930283947069,53.027302104449944,63896.699957132339000,160550364603.918400000000000,59942.639114366037000
65,180101040103,65,1272,92728800.000000000000000,52.349998474121094,250.889999389648440,198.540000915527340,200.372429430859650,27.894302789711585,254873.730236053470000,834632392804.643680000000000,311616.036740085170000
66,180101040505,66,594,43302600.000000000000000,0.000000000000000,252.320007324218750,252.320007324218750,108.023047335132300,69.005725430809264,64165.690117068589000,98123349369.906235000000000,36635.061742049809000
67,180101040503,67,1281,93384900.000000000000000,61.639999389648438,243.240005493164060,181.600006103515620,186.034824535122710,34.792858683622747,238310.610229492190000,785914964238.095950000000000,293427.032645645140000
68,180101040506,68,791,57663900.000000000000000,0.000000000000000,184.119995117187500,184.119995117187500,52.820151619905168,49.631811011996810,41780.739931344986000,85081602283.263214000000000,31765.831198948326000
69,180101040102,69,795,57955500.000000000000000,73.419998168945313,259.940002441406250,186.520004272460940,199.785245374763550,24.185212613295352,158829.270072937010000,325072864525.934330000000000,121368.303661116340000
70,180101050202,70,1122,81793800.000000000000000,0.000000000000000,196.710006713867190,196.710006713867190,47.339875260399531,47.988609489967537,53115.340042168275000,153424908392.896090000000000,57282.298533787332000
71,180101040104,71,1077,78513300.000000000000000,0.000000000000000,262.100006103515620,262.100006103515620,192.111717869201640,53.298175475267364,206904.320145130160000,573678153539.522580000000000,214186.885282079950000
72,180101060102,72,978,71296200.000000000000000,0.000000000000000,181.979995727539060,181.979995727539060,50.041441657532822,51.542841014146120,48940.529941067100000,123222657845.704610000000000,46006.069984208858000
73,180101050201,73,896,65318400.000000000000000,0.000000000000000,206.449996948242190,206.449996948242190,40.020725444957080,51.554673028344389,35858.569998681545000,82714952675.599731000000000,30882.225461320078000
74,180101040304,74,931,67869900.000000000000000,0.000000000000000,185.820007324218750,185.820007324218750,42.825886095632931,59.642119331713005,39870.899955034256000,95562778647.588867000000000,35679.054154565747000
75,180101050203,75,1170,85293000.000000000000000,0.000000000000000,269.779998779296870,269.779998779296870,56.603495688418036,44.374426420305269,66226.089955449104000,199479387478.916630000000000,74477.071191351919000
76,180101060104,76,1353,98633700.000000000000000,0.000000000000000,214.570007324218750,214.570007324218750,56.643961547012800,60.086009544539529,76639.279973108321000,266951436414.161650000000000,99668.248362515675000
77,180101040301,77,601,43812900.000000000000000,0.000000000000000,132.559997558593750,132.559997558593750,29.732429276835699,31.824525229786833,17869.189995378256000,27647915157.707325000000000,10322.548968678053000
78,180101040207,78,718,52342200.000000000000000,5.409999847412109,334.170013427734370,328.760013580322270,90.301322889859293,103.483189621848810,64836.349834918976000,119846691873.322020000000000,44745.628686276141000
79,180101040501,79,1093,79679700.000000000000000,0.000000000000000,354.230010986328120,354.230010986328120,47.089826107420514,72.887201685588948,51469.179935410619000,144827308640.036160000000000,54072.322520921451000
80,180101040205,80,626,45635400.000000000000000,4.369999885559082,299.540008544921880,295.170008659362790,152.455127786904480,84.311844254573003,95436.909994602203000,153806168084.545530000000000,57424.644595484613000
81,180101050107,81,1879,136979100.000000000000000,26.540000915527344,328.140014648437500,301.600013732910160,69.996700326453634,41.278554393924068,131523.799913406370000,636230049819.949220000000000,237541.087895739620000
82,180101050108,82,1338,97540200.000000000000000,31.379999160766602,104.519996643066410,73.139997482299805,61.088041808751314,16.419326059916884,81735.799940109253000,281547373584.351990000000000,105117.747007299870000
83,180101060305,83,810,59049000.000000000000000,0.000000000000000,179.940002441406250,179.940002441406250,3.051938282716789,10.224560304616938,2472.070009000599400,5155001954.190951300000000,1924.657240961376400
84,180101050401,84,997,72681300.000000000000000,0.000000000000000,149.179992675781250,149.179992675781250,32.590009941081462,34.471692204877307,32492.239911258221000,83398426954.252136000000000,31137.405523540958000
85,180101050403,85,1681,122544900.000000000000000,0.000000000000000,207.300003051757810,207.300003051757810,89.428036908568686,48.140837041412055,150328.530043303970000,650567215571.835210000000000,242893.972361049500000
86,180101060401,86,848,61819200.000000000000000,0.000000000000000,169.789993286132810,169.789993286132810,9.793655629427928,36.553617369585702,8305.019973754882800,18130909206.336826000000000,6769.306005950119500
87,180101060202,87,1427,104028300.000000000000000,0.000000000000000,180.520004272460940,180.520004272460940,33.660875989783349,45.527441849066726,48034.070037420839000,176464117945.932650000000000,65884.153952334615000
88,180101050104,88,673,49061700.000000000000000,0.000000000000000,352.799987792968750,352.799987792968750,59.547325621033849,50.758768829433251,40075.350142955780000,69434520278.285309000000000,25923.880032215238000
89,180101050404,89,703,51248700.000000000000000,0.000000000000000,56.400001525878906,56.400001525878906,6.972972982431925,12.418434237787489,4902.000006649643200,8871798759.827514600000000,3312.350194081358500
90,180101050103,90,866,63131400.000000000000000,34.139999389648438,120.129997253417970,85.989997863769531,54.687956023711806,15.646189169998015,47359.769916534424000,105587018183.461200000000000,39421.676442451091000
91,180101050402,91,1180,86022000.000000000000000,0.000000000000000,319.890014648437500,319.890014648437500,96.063601803274480,39.708861877011536,113355.050127863880000,344354632823.493710000000000,128567.291227409660000
92,180101050105,92,1219,88865100.000000000000000,0.000000000000000,249.130004882812500,249.130004882812500,32.059302773604735,41.332523275942165,39080.290081024170000,122643499424.721970000000000,45789.837001464308000
93,180101050102,93,1272,92728800.000000000000000,0.000000000000000,297.980010986328120,297.980010986328120,153.492122503653550,84.005067324368056,195241.979824647310000,639356910757.491330000000000,238708.524028334450000
94,180101020202,94,1555,113359500.000000000000000,0.000000000000000,407.049987792968750,407.049987792968750,148.555652869782650,77.750601346417710,231004.040212512020000,924768479712.098140000000000,345268.996308280330000
95,180101050301,95,602,43885800.000000000000000,0.000000000000000,348.309997558593750,348.309997558593750,101.649036684899630,108.427981367743570,61192.720084309578000,94837325794.866211000000000,35408.201088286361000
96,180101050303,96,647,47166300.000000000000000,0.000000000000000,291.709991455078120,291.709991455078120,42.098701796988152,82.216908058882581,27237.860062651336000,45369115714.740334000000000,16938.887288956208000
97,180101050501,97,1289,93968100.000000000000000,0.000000000000000,22.479999542236328,22.479999542236328,0.097152831112349,1.228171965004639,125.229999303817750,415570150.033547340000000,155.156119337495140
98,180101050701,98,840,61236000.000000000000000,0.000000000000000,264.619995117187500,264.619995117187500,159.034952586037780,69.767286889057402,133589.360172271730000,288891128528.151250000000000,107859.590997666890000
99,180101060407,99,1677,122253300.000000000000000,0.000000000000000,144.059997558593750,144.059997558593750,8.729010117584013,19.479742431754641,14638.549967188388000,63199577019.138031000000000,23596.018899021059000
100,180101020203,100,1120,81648000.000000000000000,0.000000000000000,466.290008544921870,466.290008544921870,153.079848319717830,90.650631425369667,171449.430118083950000,494352936376.063900000000000,184570.242075890100000
101,180101050502,101,1664,121305600.000000000000000,0.000000000000000,147.309997558593750,147.309997558593750,13.011622663444051,36.907949948080997,21651.340111970901000,92751545252.365799000000000,34629.459846313395000
102,180101060406,102,1481,107964900.000000000000000,0.000000000000000,83.550003051757812,83.550003051757812,19.448210669685203,26.125451477239970,28802.800001803786000,109817819657.492740000000000,41001.276753842962000
103,180101050601,103,1690,123201000.000000000000000,0.000000000000000,323.369995117187500,323.369995117187500,54.521698189769268,99.555197346309100,92141.669940710068000,400890563110.711490000000000,149675.389452923760000
104,180101050902,104,1468,107017200.000000000000000,0.000000000000000,347.410003662109370,347.410003662109370,210.385252145720440,69.365007340441736,308845.550149917600000,1167213907389.824000000000000,435787.749174813330000
105,180101051002,105,865,63058500.000000000000000,0.000000000000000,156.839996337890620,156.839996337890620,39.953167581144783,54.333664191840434,34559.489957690239000,76960252054.727585000000000,28733.666388413829000
106,180101050905,106,1356,98852400.000000000000000,0.000000000000000,325.910003662109370,325.910003662109370,17.746762516599279,58.335543395086134,24064.609972508624000,84008178128.305679000000000,31365.060531774827000
107,180101050703,107,906,66047400.000000000000000,0.000000000000000,325.429992675781250,325.429992675781250,206.326324578415750,86.422378482215578,186931.650068044660000,436007627441.189270000000000,162786.599253729480000
108,180101050904,108,676,49280400.000000000000000,0.000000000000000,143.970001220703120,143.970001220703120,11.798165672563414,33.250365057858254,7975.559994652867300,13880046842.810722000000000,5182.215816461581200
109,180101051003,109,1491,108693900.000000000000000,0.000000000000000,201.210006713867190,201.210006713867190,60.229966460269303,63.784666822428498,89802.879992261529000,344707678664.244380000000000,128699.103443938180000
110,180101020302,110,1723,125606700.000000000000000,18.959999084472656,570.429992675781250,551.469993591308590,223.043575293507190,58.732067569513603,384304.080230712890000,1704681792354.843500000000000,636455.268949686430000
111,180101050903,111,1429,104174100.000000000000000,0.000000000000000,329.179992675781250,329.179992675781250,62.120105021585630,107.875225998254020,88769.630075845867000,326572558309.002620000000000,121928.225175105660000
112,180101050906,112,1796,130928400.000000000000000,0.000000000000000,192.660003662109370,192.660003662109370,47.001174800214102,58.807021925831009,84414.109941184521000,390305281030.400150000000000,145723.297875746740000
113,180101050803,113,1705,124294500.000000000000000,0.000000000000000,201.949996948242190,201.949996948242190,19.531008700537019,48.962310763459513,33300.369834415615000,146169408565.377320000000000,54573.405229008742000
114,180101051101,114,1488,108475200.000000000000000,0.000000000000000,207.539993286132810,207.539993286132810,37.237130331095827,61.332984700864799,55408.849932670593000,212258512706.389770000000000,79248.249965050039000
115,180101050801,115,1674,122034600.000000000000000,0.000000000000000,351.149993896484370,351.149993896484370,35.407019057114169,73.604263036164824,59271.349901609123000,255436715713.120120000000000,95369.144158124254000
116,180101020604,116,662,48259800.000000000000000,0.000000000000000,203.949996948242190,203.949996948242190,108.457069541032230,67.848666483139084,71798.580036163330000,122364909764.030550000000000,45685.823537944671000
117,180101020301,117,1413,103007700.000000000000000,20.680000305175781,487.959991455078120,467.279991149902340,230.080771349713220,39.122050186936761,325104.129917144780000,1182626749480.944600000000000,441542.245176575550000
118,180101051102,118,1786,130199400.000000000000000,0.000000000000000,202.250000000000000,202.250000000000000,23.700884653499386,51.905189745932468,42329.779991149902000,194630328367.151820000000000,72666.639922025090000
119,180101020401,119,1815,132313500.000000000000000,0.000000000000000,370.179992675781250,370.179992675781250,191.834655484943030,108.033842902230650,348179.899705171590000,1626909423782.348400000000000,607418.392989228710000
120,180101050802,120,1500,109350000.000000000000000,0.000000000000000,204.149993896484370,204.149993896484370,21.971206633515656,28.047610939605654,32956.809950273484000,127268075291.973480000000000,47516.455828842969000
121,180101020602,121,1719,125315100.000000000000000,0.000000000000000,211.080001831054690,211.080001831054690,53.871832470393862,54.455368553190389,92605.680016607046000,409823210714.035710000000000,153010.458002552270000
122,180101020601,122,726,52925400.000000000000000,0.000000000000000,138.639999389648440,138.639999389648440,33.468787847194541,39.356651816225565,24298.339977063239000,45414681691.189285000000000,16955.899675623245000
123,180101020406,123,1831,133479900.000000000000000,0.000000000000000,346.829986572265620,346.829986572265620,55.603058416588645,79.203567895336846,101809.199960773810000,479908473976.396060000000000,179177.297631569590000
124,180101020404,124,582,42427800.000000000000000,0.000000000000000,165.199996948242190,165.199996948242190,22.910240613961037,36.685378694907470,13333.760037325323000,19978306390.070992000000000,7459.045097846102200
125,180101020102,125,1268,92437200.000000000000000,0.000000000000000,146.089996337890620,146.089996337890620,5.233880139182230,20.641082101185756,6636.560016483068500,21664333337.990070000000000,8088.535445784834300
126,180101020407,126,638,46510200.000000000000000,0.000000000000000,32.139999389648438,32.139999389648438,0.228228838092481,2.431485168575914,145.609998703002930,239163514.254553880000000,89.293426767679961
127,180101020405,127,1725,125752500.000000000000000,0.000000000000000,159.440002441406250,159.440002441406250,6.926156539245360,22.044119048703685,11947.620030198246000,53058326914.408081000000000,19809.709869477338000
128,180101020502,128,1589,115838100.000000000000000,0.000000000000000,109.580001831054690,109.580001831054690,6.332108241017695,16.459571125879332,10061.719994977117000,41160360900.086700000000000,15367.518257200829000
129,180101020103,129,1587,115692300.000000000000000,0.000000000000000,146.929992675781250,146.929992675781250,2.951424062777857,13.155824584559921,4683.909987628459900,19136764694.094383000000000,7144.849422824969200
130,180101020104,130,2175,158557500.000000000000000,0.000000000000000,117.319999694824220,117.319999694824220,3.344763218356275,13.260580501996953,7274.859999924898100,40734927798.796906000000000,15208.679733720466000
131,180101020106,131,1460,106434000.000000000000000,0.000000000000000,13.899999618530273,13.899999618530273,0.182719176926025,1.411138340043972,266.769998311996460,1002704332.362571100000000,374.366910230947610
132,180101040203,132,1129,82304100.000000000000000,31.409999847412109,355.149993896484370,323.739994049072270,220.693649315644000,62.214984523316353,249163.130077362060000,724203750312.728270000000000,270386.704865863200000
133,180101040204,133,828,60361200.000000000000000,14.859999656677246,342.010009765625000,327.150010108947750,131.143478099850650,99.323043490782354,108586.799866676330000,231467713021.466280000000000,86420.143750547344000
134,180101040201,134,766,55841400.000000000000000,46.610000610351563,236.960006713867190,190.350006103515620,143.997206371695820,39.554361368617641,110301.860080718990000,217517726551.010410000000000,81211.815468567060000
135,180101050106,135,888,64735200.000000000000000,34.939998626708984,349.429992675781250,314.489994049072270,116.289729891596610,95.767806645551204,103265.280143737790000,236075187288.458530000000000,88140.377571855963000
136,180101020201,136,1615,117733500.000000000000000,0.000000000000000,379.119995117187500,379.119995117187500,140.855672198012710,115.662810037641710,227481.910599790510000,945806824662.864990000000000,353123.814464928700000
137,180101040202,137,1214,88500600.000000000000000,34.790000915527344,265.679992675781250,230.889991760253910,193.238649035207120,41.969683408500138,234591.719928741460000,733186425463.151730000000000,273740.451561810040000
138,180101040206,138,1152,83980800.000000000000000,4.989999771118164,354.230010986328120,349.240011215209960,122.420581514222760,81.004647791822634,141028.509904384610000,418256256285.752930000000000,156158.996522458560000
139,180101030506,139,655,47749500.000000000000000,0.000000000000000,245.619995117187500,245.619995117187500,51.691083994803535,73.991380695362253,33857.660016596317000,57092792983.928375000000000,21316.006938443996000
140,180101020605,140,1660,121014000.000000000000000,0.000000000000000,130.240005493164060,130.240005493164060,1.743566258197807,13.009492317581985,2894.319988608360300,12369088062.896049000000000,4618.088434474312600