OBJECTID,COMID,FDATE,RESOLUTION,GNIS_ID,GNIS_NAME,LENGTHKM,REACHCODE,FLOWDIR,WBAREACOMI,FTYPE,FCODE,Shape_Length
1,20192506,9/6/2000 0:00:00,Medium,254780,Cosumnes River,1.514000000000000,18040013000001,With Digitized,0,StreamRiver,46006,0
2,20196636,9/6/2000 0:00:00,Medium,254780,Cosumnes River,0.610000000000000,18040013000001,With Digitized,0,StreamRiver,46006,0
3,20196634,7/6/1999 0:00:00,Medium,254780,Cosumnes River,0.087000000000000,18040013000002,With Digitized,0,StreamRiver,46006,0
4,20192504,7/17/1999 0:00:00,Medium,254780,Cosumnes River,0.035000000000000,18040013000003,With Digitized,0,StreamRiver,46006,0
5,20196632,7/6/1999 0:00:00,Medium,254780,Cosumnes River,0.129000000000000,18040013000003,With Digitized,0,StreamRiver,46006,0
6,20192498,7/17/1999 0:00:00,Medium,254780,Cosumnes River,0.041000000000000,18040013000004,With Digitized,0,StreamRiver,46006,0
7,20194548,3/19/2008 0:00:00,Medium,254780,Cosumnes River,0.138000000000000,18040013000004,With Digitized,20192224,ArtificialPath,55800,0
8,20194538,7/17/1999 0:00:00,Medium,254780,Cosumnes River,1.607000000000000,18040013000006,With Digitized,0,StreamRiver,46006,0
9,20192474,7/17/1999 0:00:00,Medium,254780,Cosumnes River,0.408000000000000,18040013000007,With Digitized,0,StreamRiver,46006,0
10,20192472,7/17/1999 0:00:00,Medium,254780,Cosumnes River,0.378000000000000,18040013000008,With Digitized,0,StreamRiver,46006,0
11,20192468,7/17/1999 0:00:00,Medium,254780,Cosumnes River,1.249000000000000,18040013000009,With Digitized,0,StreamRiver,46006,0
12,20195948,6/16/1999 0:00:00,Medium,254780,Cosumnes River,1.676000000000000,18040013000011,With Digitized,0,StreamRiver,46006,0
13,20195936,6/16/1999 0:00:00,Medium,254780,Cosumnes River,0.041000000000000,18040013000012,With Digitized,0,StreamRiver,46006,0
14,20195932,6/16/1999 0:00:00,Medium,254780,Cosumnes River,1.723000000000000,18040013000013,With Digitized,0,StreamRiver,46006,0
15,20195904,6/16/1999 0:00:00,Medium,254780,Cosumnes River,0.628000000000000,18040013000014,With Digitized,0,StreamRiver,46006,0
16,20195912,6/16/1999 0:00:00,Medium,254780,Cosumnes River,0.096000000000000,18040013000015,With Digitized,0,StreamRiver,46006,0
17,20195914,6/16/1999 0:00:00,Medium,254780,Cosumnes River,1.309000000000000,18040013000016,With Digitized,0,StreamRiver,46006,0
18,20195930,6/16/1999 0:00:00,Medium,254780,Cosumnes River,2.662000000000000,18040013000017,With Digitized,0,StreamRiver,46006,0
19,20195928,6/16/1999 0:00:00,Medium,254780,Cosumnes River,1.142000000000000,18040013000018,With Digitized,0,StreamRiver,46006,0
20,20195910,6/16/1999 0:00:00,Medium,254780,Cosumnes River,0.475000000000000,18040013000019,With Digitized,0,StreamRiver,46006,0
21,20195902,6/16/1999 0:00:00,Medium,254780,Cosumnes River,1.643000000000000,18040013000020,With Digitized,0,StreamRiver,46006,0
22,20195886,6/16/1999 0:00:00,Medium,219151,Big Canyon Creek,1.222000000000000,18040013000202,With Digitized,0,StreamRiver,46006,0
23,20195854,6/16/1999 0:00:00,Medium,219151,Big Canyon Creek,1.926000000000000,18040013000203,With Digitized,0,StreamRiver,46006,0
24,20195776,6/16/1999 0:00:00,Medium,219151,Big Canyon Creek,1.793000000000000,18040013000204,With Digitized,0,StreamRiver,46006,0
25,20195900,6/16/1999 0:00:00,Medium,221153,Clark Creek,2.979000000000000,18040013000218,With Digitized,0,StreamRiver,46003,0
26,20195802,6/16/1999 0:00:00,Medium,221153,Clark Creek,1.584000000000000,18040013000219,With Digitized,0,StreamRiver,46003,0
27,20195778,6/16/1999 0:00:00,Medium,227280,Little Indian Creek,0.337000000000000,18040013000228,With Digitized,0,StreamRiver,46006,0
28,20195754,6/16/1999 0:00:00,Medium,227280,Little Indian Creek,0.250000000000000,18040013000229,With Digitized,0,StreamRiver,46006,0
29,20195734,6/16/1999 0:00:00,Medium,227280,Little Indian Creek,2.870000000000000,18040013000230,With Digitized,0,StreamRiver,46006,0
30,20197022,6/16/1999 0:00:00,Medium,254919,Little Indian Creek,0.198000000000000,18040013000305,With Digitized,0,StreamRiver,46003,0
31,20197036,9/6/2000 0:00:00,Medium,254919,Little Indian Creek,0.334000000000000,18040013000330,With Digitized,0,StreamRiver,46003,0
32,20195956,6/16/1999 0:00:00,Medium, , ,1.938000000000000,18040013000358,With Digitized,0,StreamRiver,46003,0
33,20195736,6/16/1999 0:00:00,Medium, , ,1.118000000000000,18040013000646,With Digitized,0,StreamRiver,46003,0
34,20192470,7/17/1999 0:00:00,Medium,225859,Indian Creek,1.522000000000000,18040013000658,With Digitized,0,StreamRiver,46003,0
35,20192452,7/17/1999 0:00:00,Medium, , ,3.199000000000000,18040013000660,With Digitized,0,StreamRiver,46003,0
36,20192442,7/17/1999 0:00:00,Medium, , ,0.809000000000000,18040013000661,With Digitized,0,StreamRiver,46003,0
37,20192500,7/17/1999 0:00:00,Medium, , ,0.241000000000000,18040013000670,With Digitized,0,StreamRiver,46006,0
38,20194562,3/19/2008 0:00:00,Medium, , ,0.034000000000000,18040013000670,With Digitized,20192224,ArtificialPath,55800,0
39,20195944,6/16/1999 0:00:00,Medium,254780,Cosumnes River,0.741000000000000,18040013000840,With Digitized,0,StreamRiver,46006,0
40,20196642,7/6/1999 0:00:00,Medium,254919,Little Indian Creek,1.450000000000000,18040013000845,With Digitized,0,StreamRiver,46003,0
41,20192496,7/17/1999 0:00:00,Medium,254919,Little Indian Creek,1.706000000000000,18040013000845,With Digitized,0,StreamRiver,46003,0
42,20197020,6/16/1999 0:00:00,Medium,254919,Little Indian Creek,0.065000000000000,18040013000845,With Digitized,0,StreamRiver,46003,0
43,20194568,3/19/2008 0:00:00,Medium,254780,Cosumnes River,0.034000000000000,18040013000967,With Digitized,20192224,ArtificialPath,55800,0
44,20192490,7/17/1999 0:00:00,Medium,254780,Cosumnes River,1.061000000000000,18040013000968,With Digitized,0,StreamRiver,46006,0
45,20194570,3/19/2008 0:00:00,Medium,254780,Cosumnes River,0.151000000000000,18040013000968,With Digitized,20192224,ArtificialPath,55800,0