COMID,GNIS_ID,GNIS_NAME,StreamLeve,StreamOrde,StreamCalc,FromNode,ToNode,Pathlength,TerminalPa,AreaSqKM,TotDASqKM,DivDASqKM,MAXELEVRAW,MINELEVRAW,MAXELEVSMO,MINELEVSMO,SLOPE,Shape_Length
2664985,233415,Anderson Creek,2,3,3,10006081,10006080,44.992,10013609,0.477,119.1393,119.1393,-9998,5756,6508,5756,0.00779274,0.010975559
2665001,233415,Anderson Creek,2,3,3,10006086,10006081,45.957,10013609,1.4796,116.8308,116.8308,-9998,5930,6821,6508,0.00230486,0.014185879
2665023,233415,Anderson Creek,2,3,3,10006093,10006086,47.315,10013609,3.1491,111.8826,111.8826,-9998,6600,7284,6821,0.00281287,0.017003243
2665059,233415,Anderson Creek,2,3,3,10006104,10006093,48.961,10013609,3.5946,107.2836,107.2836,-9998,7284,8611,7284,0.00533145,0.025769563
2665057,1662293,Con Creek,3,2,2,10006103,10006104,51.45,10013609,2.7522,14.3226,14.3226,-9998,8611,23243,8611,0.04579655,0.033093114
2665003, , ,4,1,1,10093568,10006103,54.645,10013609,2.0502,2.0502,2.0502,35169,23243,35169,23243,0.07398263,0.017411424
2665081,233415,Anderson Creek,2,3,3,10006108,10006104,51.45,10013609,0.3996,89.3664,89.3664,-9998,8473,8996,8611,0.00555555,0.007434857
2665087,233415,Anderson Creek,2,3,3,10006110,10006108,52.143,10013609,0.1044,86.9013,86.9013,-9998,8826,9155,8996,0.00571942,0.002897417
2665085,224511,Graveyard Creek,3,2,2,10006109,10006110,52.421,10013609,0.6129,1.8486,1.8486,-9998,9155,14733,9155,0.03580231,0.017172268
2665069,224511,Graveyard Creek,3,1,1,10093581,10006109,53.979,10013609,1.2087,1.2087,1.2087,36799,13718,36799,14733,0.14347204,0.018576759
2665107,233415,Anderson Creek,2,3,3,10006115,10006110,52.421,10013609,0.1044,84.9483,84.9483,-9998,9000,9281,9155,0.00376119,0.003079012
2665145,233415,Anderson Creek,2,3,3,10006125,10006115,52.756,10013609,4.5648,81.8064,81.8064,-9998,9247,10580,9281,0.00903337,0.014778299
2665209,231688,Robinson Creek,3,1,1,10006146,10006125,54.194,10013609,7.1784,16.659,16.659,-9998,10580,13010,10580,0.01302949,0.018137839
2666019,231688,Robinson Creek,3,1,1,10093647,10006146,56.06,10013609,9.4806,9.4806,9.4806,37856,13010,37856,13010,0.04415496,0.06061084
2665161,230099,Ornbaun Creek,3,1,1,10093604,10006115,52.756,10013609,3.0375,3.0375,3.0375,29012,9281,29012,9281,0.08863881,0.024230735
2665143,233415,Anderson Creek,2,3,3,10006124,10006125,54.194,10013609,0.1719,60.5826,60.5826,-9998,10462,10753,10580,0.00445876,0.004416998
2665169,233415,Anderson Creek,2,3,3,10006132,10006124,54.582,10013609,1.5426,54.3519,54.3519,-9998,10692,12843,10753,0.01007714,0.021885718
2665187,234821,Soda Creek,3,2,2,10006138,10006132,56.656,10013609,5.7609,16.4826,16.4826,-9998,12843,41927,12843,0.05088173,0.05945432
2665103,234821,Soda Creek,3,2,2,10006113,10006116,62.526,10013609,0.1341,10.5732,10.5732,-9998,42006,42695,42006,0.02173501,0.003511468
2665113,234821,Soda Creek,3,2,2,10006116,10006138,62.372,10013609,0.0504,10.6236,10.6236,-9998,41819,42006,41927,0.00512987,0.001589907
2665097,234821,Soda Creek,3,1,1,10093591,10006113,62.843,10013609,8.307,8.307,8.307,63079,42612,63079,42695,0.04156606,0.053192065
2669517,233415,Anderson Creek,2,2,2,10006422,10006147,57.384,10013609,0.0225,35.8983,35.8983,-9998,15759,15759,15759,0.00001,0.0006418
2665961,233415,Anderson Creek,2,2,2,10006270,10006422,57.439,10013609,3.6738,35.8758,35.8758,-9998,15287,22310,15759,0.02129713,0.033663373
2665211,233415,Anderson Creek,2,2,2,10006147,10006132,56.656,10013609,0.4284,36.3267,36.3267,-9998,12600,15759,12843,0.04005494,0.007355415
2665967,233415,Anderson Creek,2,2,2,10006273,10006270,60.515,10013609,0.0972,32.0445,32.0445,-9998,21320,22310,22310,0.00001,0.00344795
2665977,233415,Anderson Creek,2,2,2,10006274,10006273,60.843,10013609,1.2564,19.7451,19.7451,-9998,21823,23249,22310,0.02036876,0.0043337
2665981,233415,Anderson Creek,2,2,2,10006276,10006274,61.304,10013609,0.135,14.8131,14.8131,-9998,23164,23737,23249,0.03753846,0.001303114
2665983, , ,3,1,1,10093636,10006276,61.434,10013609,0,0,0,-9998,-9998,23737,23737,0.00001,0.001304797
2665969, , ,3,1,1,10093632,10006270,60.515,10013609,0.1575,0.1575,0.1575,23160,22310,23160,22310,0.0787037,0.002560311
2666057,233415,Anderson Creek,2,1,1,10093659,10006289,66.123,10013609,7.65,7.65,7.65,74140,46215,74140,46215,0.11867828,0.024265783
2666059,233415,Anderson Creek,2,1,1,10006289,10006276,61.434,10013609,7.0281,14.6781,14.6781,-9998,23737,46215,23737,0.04793772,0.049043271
2666003, , ,3,1,1,10093642,10006274,61.304,10013609,3.6756,3.6756,3.6756,69401,23249,69401,23249,0.13171232,0.03828915
2665965,226242,Jimmy Creek,3,1,1,10006272,10006273,60.843,10013609,2.5965,12.2022,12.2022,-9998,21947,28283,22310,0.04171089,0.014406867
2665213,226242,Jimmy Creek,3,1,1,10093609,10006423,62.343,10013609,9.5652,9.5652,9.5652,55644,28005,55644,28283,0.06824893,0.043197226
2669519,226242,Jimmy Creek,3,1,1,10006423,10006272,62.275,10013609,0.0405,9.6057,9.6057,-9998,28283,28283,28283,0.00001,0.000795333
2665099, , ,4,2,2,10006111,10006113,62.843,10013609,1.0845,2.1321,2.1321,-9998,42695,44425,42695,0.03270321,0.004868573
2665071, , ,4,1,1,10093582,10006111,63.372,10013609,0.8298,0.8298,0.8298,61165,43896,61165,44425,0.14406196,0.012165281
2665073, , ,5,1,1,10093583,10006111,63.372,10013609,0.2178,0.2178,0.2178,45596,44425,45596,44425,0.10094827,0.003042002
2665109, , ,4,1,1,10093592,10006138,62.372,10013609,0.0981,0.0981,0.0981,42878,41927,42878,41927,0.0914423,0.002347275
2665141,222496,Donelly Creek,3,2,2,10006123,10006124,54.582,10013609,0.0576,6.0588,6.0588,-9998,10753,11042,10753,0.01006968,0.003190846
2665153, , ,4,1,1,10093602,10006123,54.869,10013609,3.5073,3.5073,3.5073,39965,11042,39965,11042,0.08202779,0.040182803
2665139,222496,Donelly Creek,3,1,1,10006122,10006123,54.869,10013609,0.1971,2.4939,2.4939,-9998,10994,13277,11042,0.03813993,0.005934805
2665635,222496,Donelly Creek,3,1,1,10006184,10006122,55.455,10013609,0.2268,2.2968,2.2968,-9998,13277,18072,13277,0.08686594,0.00571426
2665111,222496,Donelly Creek,3,1,1,10093593,10006184,56.007,10013609,2.07,2.07,2.07,46479,18072,46479,18072,0.14325264,0.023706726
2665067, , ,4,1,1,10093580,10006109,53.979,10013609,0.027,0.027,0.027,15469,14733,15469,14733,0.07009523,0.002843159
2665079,238081,Witherell Creek,3,1,1,10093585,10006108,52.143,10013609,2.0655,2.0655,2.0655,38635,8996,38635,8996,0.08973357,0.037304675
2665019,1662293,Con Creek,3,2,2,10006092,10006103,54.645,10013609,3.4578,9.5202,9.5202,-9998,23142,32419,23243,0.04191868,0.024594985
2665031,1662293,Con Creek,3,1,1,10093574,10006092,56.834,10013609,4.3686,4.3686,4.3686,59294,32419,59294,32419,0.08223684,0.034719513
2665017, , ,4,1,1,10093570,10006092,56.834,10013609,1.6938,1.6938,1.6938,54327,32267,54327,32419,0.14873048,0.015308885
2665021, , ,3,1,1,10093571,10006093,48.961,10013609,1.4499,1.4499,1.4499,25514,7267,25514,7284,0.10044077,0.021363221
2664999, , ,3,1,1,10093567,10006086,47.315,10013609,3.4686,3.4686,3.4686,31485,6821,31485,6821,0.07167683,0.039391982
2664977, , ,3,1,1,10093562,10006081,45.957,10013609,1.8315,1.8315,1.8315,26094,6508,26094,6508,0.09480154,0.024777399
